,weight
"WR,X,X,WK,WQ,WQB,X,WR,X,X,X,X,WP,X,WP,X,WP,X,WH,X,X,WH,X,WP,X,X,WP,X,X,BP,BH,WKB,X,WP,X,X,BP,BP,X,X,X,BK,WP,X,X,X,X,BP,BP,BP,X,BP,X,X,BQB,BQ,BR,BH,BKB,X,X,X,X,BR",-0.10464697253675036
"WR,X,X,WK,WQ,WQB,X,WR,X,X,X,X,WP,X,WP,X,WP,X,WH,X,X,WH,X,WP,X,X,WP,X,X,BP,BH,WKB,X,WP,X,X,BP,BP,X,X,X,BK,WP,X,X,X,BQ,BP,BP,BP,X,BP,X,X,BQB,X,BR,BH,BKB,X,X,X,X,BR",-0.09513361139704578
"WR,X,X,WK,WQ,WQB,X,WR,X,X,X,X,WP,X,WP,X,WP,X,WH,X,X,WH,X,WP,X,X,WP,X,X,BP,BH,X,X,WP,X,X,BP,BP,X,X,X,BK,WP,X,X,X,BQ,BP,BP,BP,X,BP,WKB,X,BQB,X,BR,BH,BKB,X,X,X,X,BR",-0.08648510127004161
"WR,X,X,WK,WQ,WQB,X,WR,X,X,X,X,WP,X,WP,X,WP,X,WH,X,X,WH,X,WP,X,X,WP,X,X,BP,BH,X,X,WP,X,X,BP,BP,X,X,X,BK,WP,X,X,BQ,X,BP,BP,BP,X,BP,WKB,X,BQB,X,BR,BH,BKB,X,X,X,X,BR",-0.07862281933640146
"WR,X,X,WK,WQ,WQB,X,WR,X,X,X,X,WP,X,WP,X,WP,X,WH,X,X,WH,X,WP,X,WKB,WP,X,X,BP,BH,X,X,WP,X,X,BP,BP,X,X,X,BK,WP,X,X,BQ,X,BP,BP,BP,X,BP,X,X,BQB,X,BR,BH,BKB,X,X,X,X,BR",-0.0714752903058195
"WR,X,X,WK,WQ,WQB,X,WR,X,X,X,X,WP,X,WP,X,WP,X,WH,X,X,WH,X,WP,X,WKB,WP,X,X,BP,BH,X,X,WP,X,X,BP,BP,X,X,X,BK,WP,X,X,X,X,BP,BP,BP,X,BP,X,X,BQB,X,BR,BH,BKB,X,X,BQ,X,BR",-0.0649775366416541
"WR,WH,X,WK,WQ,WQB,X,WR,X,X,X,X,WP,X,WP,X,WP,X,X,X,X,WH,X,WP,X,WKB,WP,X,X,BP,BH,X,X,WP,X,X,BP,BP,X,X,X,BK,WP,X,X,X,X,BP,BP,BP,X,BP,X,X,BQB,X,BR,BH,BKB,X,X,BQ,X,BR",-0.05907048785604916
"WR,WH,X,WK,WQ,WQB,X,WR,X,X,X,X,WP,X,WP,X,WP,X,X,X,X,WH,X,WP,X,WKB,WP,X,X,BP,X,X,X,WP,X,X,BP,BP,X,X,X,BK,WP,X,X,BH,X,BP,BP,BP,X,BP,X,X,BQB,X,BR,BH,BKB,X,X,BQ,X,BR",-0.05370044350549925
"WR,WH,X,WK,WQ,WQB,X,WR,X,X,X,WKB,WP,X,WP,X,WP,X,X,X,X,WH,X,WP,X,X,WP,X,X,BP,X,X,X,WP,X,X,BP,BP,X,X,X,BK,WP,X,X,BH,X,BP,BP,BP,X,BP,X,X,BQB,X,BR,BH,BKB,X,X,BQ,X,BR",-0.04881858500499931
"WR,WH,X,WK,WQ,WQB,X,WR,X,X,X,WKB,WP,X,WP,X,WP,X,X,X,X,WH,X,WP,X,X,WP,X,X,BP,X,X,X,WP,X,X,BP,BP,X,X,X,BK,WP,X,X,X,X,BP,BP,BP,X,BP,X,X,BQB,X,BR,BH,BKB,X,X,BQ,BH,BR",-0.04438053182272665
