,weight
"WR,WH,WKB,WK,WQ,WQB,X,WR,WP,WP,X,WP,X,WP,X,WP,X,X,X,X,WP,X,X,WH,X,X,X,X,X,X,WP,X,BH,BP,X,WP,BP,X,X,X,X,X,BQ,X,X,X,X,X,BP,X,BP,X,X,BP,BP,BP,BR,X,BKB,BK,X,BQB,BH,BR",-0.7744137526818735
"WR,WH,WKB,WK,WQ,WQB,X,WR,WP,WP,X,WP,X,WP,X,WP,X,X,X,X,WP,X,X,X,X,X,X,X,X,X,WP,X,BH,BP,X,WP,BP,X,WH,X,X,X,BQ,X,X,X,X,X,BP,X,BP,X,X,BP,BP,BP,BR,X,BKB,BK,X,BQB,BH,BR",-0.7040125024380668
"WR,WH,WKB,WK,WQ,WQB,X,WR,WP,WP,X,WP,X,WP,X,WP,X,X,X,X,WP,X,X,X,X,X,X,X,X,X,WP,X,BH,BP,X,WP,BP,X,WH,X,X,X,X,X,X,X,X,X,BP,X,BP,X,X,BP,BP,BP,BR,X,BKB,BK,BQ,BQB,BH,BR",-0.640011365852788
"WR,WH,WKB,WK,WQ,WQB,X,WR,WP,WP,X,WP,WP,WP,X,WP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,WP,X,BH,BP,X,WP,BP,X,WH,X,X,X,X,X,X,X,X,X,BP,X,BP,X,X,BP,BP,BP,BR,X,BKB,BK,BQ,BQB,BH,BR",-0.5818285144116253
"WR,WH,WKB,WK,WQ,WQB,X,WR,WP,WP,X,WP,WP,WP,X,WP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,WP,X,X,BP,X,WP,BP,X,WH,X,X,X,BH,X,X,X,X,X,BP,X,BP,X,X,BP,BP,BP,BR,X,BKB,BK,BQ,BQB,BH,BR",-0.5289350131014775
"WR,WH,WKB,WK,WQ,WQB,X,WR,WP,WP,X,WP,WP,WP,WP,WP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,BP,X,WP,BP,X,WH,X,X,X,BH,X,X,X,X,X,BP,X,BP,X,X,BP,BP,BP,BR,X,BKB,BK,BQ,BQB,BH,BR",-0.480850011910434
"WR,WH,WKB,WK,WQ,WQB,X,WR,WP,WP,X,WP,WP,WP,WP,WP,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,WP,BP,X,WH,X,X,X,BH,X,X,X,X,X,BP,BP,BP,X,X,BP,BP,BP,BR,X,BKB,BK,BQ,BQB,BH,BR",-0.4371363744640309
"WR,WH,WKB,WK,WQ,WQB,X,WR,WP,WP,X,WP,WP,WP,WP,WP,X,X,X,X,X,X,X,WH,X,X,X,X,X,X,X,X,X,X,X,WP,BP,X,X,X,X,X,BH,X,X,X,X,X,BP,BP,BP,X,X,BP,BP,BP,BR,X,BKB,BK,BQ,BQB,BH,BR",-0.39739670405820987
"WR,WH,WKB,WK,WQ,WQB,X,WR,WP,WP,X,WP,WP,WP,WP,WP,X,X,X,X,X,X,X,WH,X,X,X,X,X,X,X,X,X,X,X,WP,BP,X,X,X,X,X,X,X,X,X,X,X,BP,BP,BP,X,X,BP,BP,BP,BR,BH,BKB,BK,BQ,BQB,BH,BR",-0.36126973096200893
"WR,WH,WKB,WK,WQ,WQB,X,WR,WP,WP,X,WP,WP,WP,WP,WP,X,X,X,X,X,X,X,WH,X,X,WP,X,X,X,X,X,X,X,X,BP,BP,X,X,X,X,X,X,X,X,X,X,X,BP,BP,BP,X,X,BP,BP,BP,BR,BH,BKB,BK,BQ,BQB,BH,BR",-0.3284270281472808
"WR,WH,WKB,WK,WQ,WQB,X,WR,WP,WP,X,WP,WP,WP,WP,WP,X,X,X,X,X,X,X,WH,X,X,WP,X,X,X,X,X,X,X,X,X,BP,X,X,X,X,X,X,X,X,X,X,X,BP,BP,BP,BP,X,BP,BP,BP,BR,BH,BKB,BK,BQ,BQB,BH,BR",-0.2985700255884371
"WR,WH,WKB,WK,WQ,WQB,X,WR,WP,WP,WP,WP,WP,WP,WP,WP,X,X,X,X,X,X,X,WH,X,X,X,X,X,X,X,X,X,X,X,X,BP,X,X,X,X,X,X,X,X,X,X,X,BP,BP,BP,BP,X,BP,BP,BP,BR,BH,BKB,BK,BQ,BQB,BH,BR",-0.2714272959894882
"WR,WH,WKB,WK,WQ,WQB,X,WR,WP,WP,WP,WP,WP,WP,WP,WP,X,X,X,X,X,X,X,WH,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,BP,BP,BP,BP,BP,BP,BP,BP,BR,BH,BKB,BK,BQ,BQB,BH,BR",-0.24673863441428873
"X,X,X,WK,X,X,WR,X,WR,X,X,X,X,X,BQ,X,WP,X,BP,WP,X,X,BP,X,X,WP,X,X,X,X,X,X,X,X,X,BP,X,WP,X,BP,BKB,BH,BP,X,X,X,BH,X,BP,X,WQ,X,X,X,WH,X,BR,WKB,BK,X,BR,X,X,X",100.0
"X,X,X,WK,X,X,WR,X,WR,X,X,X,X,X,BQ,X,WP,X,BP,WP,X,X,BP,X,X,WP,X,X,X,WQ,X,X,X,X,X,BP,X,WP,X,BP,BKB,BH,BP,X,X,X,BH,X,BP,X,X,X,X,X,WH,X,BR,WKB,BK,X,BR,X,X,X",90.9090909090909
"X,X,X,WK,X,X,WR,X,WR,X,X,X,X,X,BQ,X,WP,X,BP,WP,X,X,BP,X,X,WP,X,X,X,WQ,X,X,X,X,X,BP,X,WP,X,X,BKB,BH,BP,X,X,X,BH,BP,BP,X,X,X,X,X,WH,X,BR,WKB,BK,X,BR,X,X,X",82.64462809917354
"X,X,X,WK,X,X,WR,X,WR,X,X,X,X,X,BQ,X,WP,X,BP,WP,X,X,BP,X,X,WP,X,X,X,X,X,X,X,X,X,BP,X,WP,WQ,X,BKB,BH,BP,X,X,X,BH,BP,BP,X,X,X,X,X,WH,X,BR,WKB,BK,X,BR,X,X,X",75.13148009015777
