,weight
"X,X,WK,X,X,X,X,X,X,X,BP,X,WP,X,X,X,X,X,WKB,X,BP,X,WP,BH,X,X,X,X,X,X,X,X,WP,X,BP,X,X,X,X,BP,BP,BR,X,X,X,X,BKB,X,X,BH,X,BK,X,X,X,X,X,X,X,X,X,X,X,X",-2.209492815217993
"X,X,WK,X,X,X,X,X,X,X,BP,X,WP,X,X,X,X,X,WKB,X,BP,X,WP,BH,X,BR,X,X,X,X,X,X,WP,X,BP,X,X,X,X,BP,BP,X,X,X,X,X,BKB,X,X,BH,X,BK,X,X,X,X,X,X,X,X,X,X,X,X",-2.008629832016357
"X,X,WK,X,X,X,X,X,X,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,WP,BH,X,BR,X,X,X,X,X,X,WP,X,BP,X,X,X,X,BP,BP,X,X,X,X,WKB,BKB,X,X,BH,X,BK,X,X,X,X,X,X,X,X,X,X,X,X",-1.8260271200148699
"X,X,WK,X,X,X,BH,X,X,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,WP,X,X,BR,X,X,X,X,X,X,WP,X,BP,X,X,X,X,BP,BP,X,X,X,X,WKB,BKB,X,X,BH,X,BK,X,X,X,X,X,X,X,X,X,X,X,X",-1.6600246545589725
"X,X,WK,X,X,X,BH,X,X,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,WP,X,X,BR,X,X,X,X,X,X,WP,X,BP,X,X,X,WKB,BP,BP,X,X,X,X,X,BKB,X,X,BH,X,BK,X,X,X,X,X,X,X,X,X,X,X,X",-1.5091133223263384
"X,X,WK,X,X,X,BH,X,X,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,WP,X,X,BR,X,X,BKB,X,X,X,WP,X,BP,X,X,X,WKB,BP,BP,X,X,X,X,X,X,X,X,BH,X,BK,X,X,X,X,X,X,X,X,X,X,X,X",-1.371921202114853
"X,X,WK,X,X,X,BH,X,X,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,WP,X,X,BR,X,X,BKB,X,X,X,WP,X,BP,X,X,X,X,BP,BP,X,X,X,X,X,X,X,X,BH,X,BK,X,X,X,X,X,X,X,WKB,X,X,X,X",-1.2472010928316846
"X,X,WK,X,X,X,BH,X,X,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,WP,X,X,BR,X,X,BKB,X,X,X,WP,X,BP,X,X,X,X,BP,BP,X,X,X,X,X,X,X,X,BH,X,X,X,X,X,X,X,X,BK,WKB,X,X,X,X",-1.1338191753015314
"X,X,WK,X,X,X,BH,X,X,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,WP,X,X,BR,X,X,BKB,X,X,X,WP,X,BP,X,X,X,WKB,BP,BP,X,X,X,X,X,X,X,X,BH,X,X,X,X,X,X,X,X,BK,X,X,X,X,X",-1.030744704819574
"X,X,WK,X,X,X,BH,X,X,X,BP,X,WP,X,X,X,X,X,X,X,BP,X,WP,X,X,BR,X,X,BKB,X,X,X,WP,X,BP,X,X,X,WKB,BP,BP,X,X,X,X,X,X,X,X,BH,X,X,X,X,X,X,X,BK,X,X,X,X,X,X",-0.9370406407450671
